id,backers_count,category,pledged,state,blurb_length,goal_in_usd,campaign_duration,sub_category
0,128,publishing,4718,1,17,5770.03,40,zines
1,0,publishing,0,0,22,3804.7,30,zines
2,1,publishing,25,0,20,1705.15,30,zines
3,2,publishing,120,0,19,5371.42,60,zines
4,0,publishing,0,0,16,9.15,30,zines
5,515,publishing,18952.01,1,12,12500,30,zines
6,59,publishing,2015.8,1,22,350,30,zines
7,0,publishing,0,0,20,650,30,zines
8,195,publishing,11032,1,16,12509.87,36,zines
9,0,publishing,0,0,22,204090.96,60,zines
10,592,publishing,17660.5,1,16,8655.76,30,zines
11,45,publishing,1655,1,14,500,60,zines
12,0,publishing,0,0,21,550,48,zines
13,28,publishing,500,1,19,500,30,zines
14,21,publishing,146.32,1,18,13.56,30,zines
15,1,publishing,6,0,5,23354.99,30,zines
16,90,publishing,896.11,1,12,550,14,zines
17,15,publishing,250,1,8,200,25,zines
18,14,publishing,300,1,19,383.99,32,zines
19,48,publishing,1389,1,14,1655.57,21,zines
20,252,publishing,4463,1,12,932.83,30,zines
21,8,publishing,1500,1,24,1500,40,zines
22,0,publishing,0,0,20,500,30,young adult
23,10,publishing,1151,0,15,5830.82,30,young adult
24,59,publishing,3402,1,22,2197.91,32,young adult
25,23,publishing,1345,0,21,7500,30,young adult
26,71,publishing,3625,1,21,3000,15,young adult
27,1,publishing,1,0,23,5000,30,young adult
28,43,publishing,2718,0,24,18000,28,young adult
29,0,publishing,0,0,17,5362.76,30,young adult
30,8,publishing,315,1,5,300,60,young adult
31,9,publishing,2819,0,28,9670.13,44,young adult
32,2,publishing,60,0,19,2000,40,young adult
33,40,publishing,2797,0,21,28000,30,young adult
34,6,publishing,337,0,24,4147.68,30,young adult
35,4,publishing,200,0,22,5000,30,young adult
36,0,publishing,0,0,29,50000,30,young adult
37,0,publishing,0,0,24,554.32,60,young adult
38,2,publishing,70,0,23,2000,33,young adult
39,19,publishing,510,0,19,10500,33,young adult
40,1,publishing,150,0,14,1744.37,30,young adult
41,1,publishing,100,0,19,2700,30,young adult
42,200,publishing,9777,1,28,7500,31,young adult
43,0,publishing,0,0,28,5000,30,young adult
44,1,publishing,1,0,18,3781.98,30,young adult
45,4,publishing,139,0,20,15000,40,young adult
46,0,publishing,0,0,22,1000,30,young adult
47,0,publishing,0,0,22,31644.36,45,young adult
48,6,publishing,901.29,1,24,677.88,30,young adult
49,1,publishing,100,0,22,58220.28,30,young adult
50,4,publishing,240,0,20,2802.2,60,young adult
51,0,music,0,0,21,5000,32,world music
52,23,music,11350,1,27,10000,47,world music
53,38,music,1646,0,20,5000,30,world music
54,153,music,9807,1,23,7500,32,world music
55,87,music,6515,1,18,6000,25,world music
56,57,music,2454,1,20,1800,14,world music
57,1,music,1,0,20,518121.12,25,world music
58,0,music,0,0,19,10000,59,world music
59,34,music,2534,0,17,12000,45,world music
60,1,music,10,0,9,75000,60,world music
61,1,music,1,0,21,1500,30,world music
62,63,music,3103,1,24,3000,45,world music
